NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
229,"If you cease to use the Cookpad Service or terminate the Premium Service (as applicable) in accordance with the previous paragraph, the relevant Changes will not be binding on you.",0,0
230,"We must not have previously disabled your account for violation of law or any of our policies.",2,2
231,"9 Service Change and Termination",0,0
232,"Except as otherwise provided herein or stipulated by the applicable laws and/or regulations, in no event will we be held liable hereunder exceeding the total service fees charged by us for hitv services.",0,0
233,"You acknowledge and agree that such system requirements, which may be changed from time to time, are Your responsibility.",0,1
234,"Collection of individual's information for sanction compliance purpose.",0,0
235,"These Terms will automatically terminate if You fail to comply with them.",0,0
236,"Termination Your right to terminate.",0,0
237,"In such cases, our warranties and liability will be limited to the fullest extent permitted by applicable law.",0,0
238,"You don't have to disclose your identity on Instagram, but you must provide us with accurate and up to date information (including registration information), which may include providing personal data.",2,3
239,"If the provided materials are not authentic or do not meet the requirements, which will fail our security verification, you may not be able to retrieve your account, and you shall bear the risks and losses arising therefrom.",3,1
240,"If you are uploading Content you did not create or own, you are responsible for ensuring that the Content you upload is licensed under terms that grant these permissions to other GitHub Users.",3,3
241,"Severability, No Waiver, and Survival",0,0
242,"Except as otherwise expressly provided for in these Terms of Use, any price changes or changes to your subscription plan will take effect following notice to you.",0,0
243,". If you make any use of the Service you agree to be bound by these Terms of Use.",3,0
244,"IT IS IMPORTANT TO UNDERSTAND THAT THE SERVICES DO NOT INCLUDE THE PROVISION OF MEDICAL CARE BY THE COMPANY. FABULOUS IS NOT A LICENSED MEDICAL CARE PROVIDER.",0,0
245,"For example, we may review, disable access to, remove, or edit Content to: (i) operate, secure and improve the Airbnb Platform (including for fraud prevention, risk assessment, investigation and customer support purposes); (ii) ensure Members’ compliance with these Terms; (iii) comply with applicable law or the order or requirement of a court, law enforcement or other administrative agency or governmental body; (iv) address Content that we determine is harmful or objectionable; (v) take actions set out in these Terms; and (vi) maintain and enforce any quality or eligibility criteria, including by removing Listings that don’t meet quality and eligibility criteria.",1,1
246,"If, notwithstanding the other provisions of the Terms, we are found to be liable to you for any damage or loss which arises out of or is in any way connected with your use of the Website or any of our Services, our liability shall not exceed what you paid us for the Services in the previous month. ",0,0
247,"The Company may provide notifications to you via email notice, or through posting of such notice on the Site, as determined by the Company in our sole discretion.",1,1
248,"All amounts are payable and charged: (i) for one-off purchase (e.g. lifetime Subscription), at the time you place your order; and (ii) For monthly or yearly subscriptions, at the beginning of the subscription and, because each such subscription renews automatically for an additional period equal in length to the expiring subscription term until you cancel it, at the time of each renewal until you cancel, using the Payment Information you have provided.",0,0
249,"Coursera is committed to advancing the science of learning and teaching, and records of your participation in courses may be used for education research.",0,1
250,"We may modify, suspend, or terminate Company’s access to or use of our Business Services and these Business Terms at any time and for any reason, permissible by applicable law, including if we determine, in our sole discretion, that Company violates these Business Terms, receives excessive negative feedback, or creates harm, risk, or possible legal exposure for us, our users, or others.",1,1
