CLASSES,SENTENCES,PROVIDER,VALUE
DUTY,"If you do not receive your purchased Merchandise and believe it was lost in transit, then in order to be eligible to receive replacement Merchandise, you must submit a claim to us by sending an email to shop@9gag.com within four weeks of the estimated delivery date.",9GAG,3
OTHERS,9GAG is not obligated to provide you with any exchanges or replacement merchandise if you fail to comply with the timing requirements set forth in this Section 7.8.,9GAG,0
OTHERS,Cancellation of Payments and Purchases.,9GAG,0
PROHIBITION,"Payments and purchases may not be cancelled by the User, except as required by law.",9GAG,2
PERMISSION,"However, 9GAG reserves the right to refuse or terminate any purchase or attempted purchase at any time in its sole discretion.",9GAG,1
DUTY,"You understand and agree that if you authorize a payment transaction with your credit card, debit card or other payment method, but your charge is rejected for any reason, there may be a hold on your use of that transaction amount for several days.",9GAG,3
OTHERS,Disputed Charges.,9GAG,0
DUTY,"NOTWITHSTANDING ANY OTHER PROVISION OF THIS EULA, YOU AGREE TO SUBMIT ANY DISPUTES REGARDING ANY CHARGE TO YOUR ACCOUNT OR CREDIT CARDS FOR PURCHASES THROUGH THE SERVICE (BUT NOT ANY EXTERNAL SERVICES) IN WRITING TO 9GAG WITHIN 60 DAYS OF SUCH CHARGE, OTHERWISE SUCH DISPUTE WILL BE WAIVED AND SUCH CHARGE WILL BE FINAL AND NOT SUBJECT TO CHALLENGE.",9GAG,3
PERMISSION,"The Service may contain links to or the ability to share information with third party websites and services (“External Services”), including through features that allow you to link your Account on 9GAG with an account on an External Service, such as Facebook and Google.",9GAG,1
OTHERS,9GAG does not endorse any External Services or the content made available on such External Services.,9GAG,0
OTHERS,All External Services and any content thereon is developed and provided by others.,9GAG,0
DUTY,You should contact the site administrator or webmaster for those External Services if you have any concerns regarding such content located on such External Services.,9GAG,3
OTHERS,9GAG is not responsible for the content of any External Services and does not make any representations regarding the content or accuracy of any materials on such External Services.,9GAG,0
DUTY,You should take precautions when downloading files from all websites to protect your computer and mobile devices from viruses and other destructive programs.,9GAG,3
DUTY,"If you decide to access any External Services, purchase any content from External Services or subscribe to services offered by such External Service, then you do so at your own risk.",9GAG,3
DUTY,"You agree that 9GAG will have no liability to you arising from your use, engagement, exposure to or interaction with any External Services.",9GAG,3
OTHERS,TERM AND TERMINATION,9GAG,0
OTHERS,Term.,9GAG,0
OTHERS,"As between you and 9GAG, the term of this EULA commences as of your first use of the Service and continues until the termination of this EULA by either you or 9GAG.",9GAG,0
OTHERS,Termination.,9GAG,0
PERMISSION,"You may terminate this EULA by sending written notification to 9GAG at support@9gag.com, deleting your Account, deleting the App from your mobile devices, and terminating all other uses of the Service.",9GAG,1
PERMISSION,"If you wish to delete any of your User Content from the Service, then you can ask 9GAG to do so for you by contacting 9GAG at support@9gag.com.",9GAG,1
OTHERS,9GAG will delete your User Content within 30 days of receipt of your request.,9GAG,0
OTHERS,"Notwithstanding the preceding sentence, the revocation of any license grant from you to 9GAG will not be effective until 60 days following 9GAG’s receipt of such revocation notice; provided, however, that your license grant to 9GAG for your User Content will be irrevocable with respect to backup copies made of your User Content in the ordinary course of business.",9GAG,0
PERMISSION,"9GAG reserves the right, in its sole discretion, to restrict, suspend or terminate this EULA and your access to all or any part of the Service at any time without prior notice or liability if you breach any provision of this EULA or violate the rights of any third party copyright owner.",9GAG,1
PERMISSION,"9GAG may further terminate this EULA immediately for any other reason with or without notice to you, using the email address associated with your account credentials.",9GAG,1
PERMISSION,"9GAG reserves the right to change, suspend or discontinue all or any part of the Service at any time without prior notice or liability.",9GAG,1
OTHERS,Survival.,9GAG,0
OTHERS,"Sections 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 3.2, 3.3, 4.2, 4.3, 4.4, 5, 7.3, 7.5, 7.7, 7.8, 7.10, 8, 9, 10, 11, 12, 13, 14, 15.1, and all defined terms used therein will survive the termination of this EULA indefinitely.",9GAG,0
OTHERS,NOTICE AND PROCEDURE FOR MAKING CLAIMS OF COPYRIGHT OR OTHER INTELLECTUAL PROPERTY INFRINGEMENTS,9GAG,0
OTHERS,Respect of Third Party Rights.,9GAG,0
DUTY,"9GAG respects the intellectual property of others and takes the protection of intellectual property very seriously, and 9GAG asks Users to do the same.",9GAG,3
PROHIBITION,Infringing activity will not be tolerated on or through the Service.,9GAG,2
OTHERS,Repeat Infringer Policy.,9GAG,0
OTHERS,"9GAG’s intellectual property policy is to: (i) remove or disable access to material that 9GAG believes in good faith, upon notice from an intellectual property owner or his or her agent, is infringing the intellectual property of a third party by being made available through the Service; and (ii) remove any User Content uploaded to the Service by “repeat infringers.” 9GAG considers a “repeat infringer” to be any User that has Posted User Content and for whom 9GAG has received more than three takedown notices compliant with the provisions of 17 U.S.C. § 512 with respect to such User Content.",9GAG,0
PERMISSION,"9GAG has discretion, however, to terminate the Account of any User after receipt of a single notification of claimed infringement or upon 9GAG’s own determination.",9GAG,1
OTHERS,Procedure for Reporting Claimed Infringement.,9GAG,0
DUTY,"If you believe that any content made available on or through the Service has been used or exploited in a manner that infringes an intellectual property right you own or control, then please promptly send a “Notification of Claimed Infringement” containing the following information to the Designated Agent identified below.",9GAG,3
PERMISSION,"Your Notification of Claimed Infringement may be shared by 9GAG with the User alleged to have infringed a right you own or control, and you hereby consent to 9GAG making such disclosure.",9GAG,1
DUTY,"Your communication must include substantially the following: A physical or electronic signature of a person authorized to act on behalf of the owner of the work(s) that has/have been allegedly infringed; Identification of works or materials being infringed, or, if multiple works are covered by a single notification, then a representative list of such works; Identification of the specific material that is claimed to be infringing or to be the subject of infringing activity and that is to be removed or access to which is to be disabled, and information reasonably sufficient to permit 9GAG to locate the material; Information reasonably sufficient to permit 9GAG to contact you, such as an address, telephone number and, if available, an electronic mail address at which you may be contacted; A statement that you have a good faith belief that the use of the material in the manner complained of is not authorized by the copyright owner, its agent or the law; and A statement that the information in the notification is accurate, and under penalty of perjury, that you are authorized to act on behalf of the owner of an exclusive right that is allegedly infringed.",9GAG,3
